query,method,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy
Roles and responsibilities of individual board members,left_kan,0.0,0.0,0.01515151560306549,0.0,1.283172607421875,0.0,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,left_kan,0.0,0.0,0.018518518656492233,0.0,1.4377014636993408,0.0,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,left_kan,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373
federal reserve public communication channels,left_kan,0.0,0.0,0.013513513840734959,0.0,1.4152779579162598,0.0,2.9444386959075928
Indemnification and liability protection policies for board members,left_kan,0.0,0.0,0.01609848439693451,0.0,1.339717984199524,0.0,2.75166654586792
Monetary Policy Reports Submitted to Congress,left_kan,0.0,0.0,0.018472906202077866,0.0,1.1124565601348877,0.0,2.615631103515625
Proportional representation methods and their implementation,left_kan,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415
The impact of unconvent,left_kan,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984
Beige Book Regional Economic Condition Reports,left_kan,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,left_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,left_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Fiduciary duties and legal obligations of board members,left_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Committee formations and their specific functions,left_kan,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984
Quorum requirements and participation thresholds,left_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Unconventional monetary policy tools during economic crises,left_kan,0.0,0.0,0.016129031777381897,0.0,1.40753173828125,0.0,2.7725887298583984
Open market operations and asset purchase programs,left_kan,0.0,0.0,0.01515151560306549,0.0,1.2980356216430664,0.0,2.8332133293151855
board of governors structural organization,left_kan,0.0,0.0,0.016129031777381897,0.0,1.482709527015686,0.0,2.7725887298583984
The Taylor Rule and systematic policy frameworks,left_kan,0.0,0.0,0.01515151560306549,0.0,1.2181949615478516,0.0,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,left_kan,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792
Roles and responsibilities of individual board members,right_kan,0.0,0.0,0.01515151560306549,0.0,1.283172607421875,0.0,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,right_kan,0.0,0.0,0.018518518656492233,0.0,1.4377014636993408,0.0,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,right_kan,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373
federal reserve public communication channels,right_kan,0.0,0.0,0.013513513840734959,0.0,1.4152779579162598,0.0,2.9444386959075928
Indemnification and liability protection policies for board members,right_kan,0.0,0.0,0.01609848439693451,0.0,1.339717984199524,0.0,2.75166654586792
Monetary Policy Reports Submitted to Congress,right_kan,0.0,0.0,0.018472906202077866,0.0,1.1124565601348877,0.0,2.615631103515625
Proportional representation methods and their implementation,right_kan,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415
The impact of unconvent,right_kan,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984
Beige Book Regional Economic Condition Reports,right_kan,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,right_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,right_kan,0.0,0.0,0.017241379246115685,0.0,1.2654131650924683,0.0,2.7080507278442383
Fiduciary duties and legal obligations of board members,right_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Committee formations and their specific functions,right_kan,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984
Quorum requirements and participation thresholds,right_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
Unconventional monetary policy tools during economic crises,right_kan,0.0,0.0,0.016129031777381897,0.0,1.40753173828125,0.0,2.7725887298583984
Open market operations and asset purchase programs,right_kan,0.0,0.0,0.01515151560306549,0.0,1.2980356216430664,0.0,2.8332133293151855
board of governors structural organization,right_kan,0.0,0.0,0.016129031777381897,0.0,1.482709527015686,0.0,2.7725887298583984
The Taylor Rule and systematic policy frameworks,right_kan,0.0,0.0,0.01515151560306549,0.0,1.2181949615478516,0.0,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,right_kan,0.0,0.0,0.01609848439693451,0.0,1.3180238008499146,0.0,2.75166654586792
Roles and responsibilities of individual board members,naive_rag,0.995848536491394,0.013495276682078838,0.01515151560306549,1.356336236000061,1.283172607421875,2.9264180660247803,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,0.9989585876464844,0.013495276682078838,0.018518518656492233,1.3195455074310303,1.4377014636993408,2.9264180660247803,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.9989514946937561,0.013495276682078838,0.01512605044990778,1.2487804889678955,1.0720434188842773,2.9264180660247803,2.8133552074432373
federal reserve public communication channels,naive_rag,0.9980936050415039,0.013495276682078838,0.013513513840734959,1.5148561000823975,1.4152779579162598,2.9264180660247803,2.9444386959075928
Indemnification and liability protection policies for board members,naive_rag,0.9961497187614441,0.012820512987673283,0.01609848439693451,1.3747763633728027,1.339717984199524,2.9957327842712402,2.75166654586792
Monetary Policy Reports Submitted to Congress,naive_rag,0.9973143339157104,0.013495276682078838,0.018472906202077866,1.4320125579833984,1.1124565601348877,2.9264180660247803,2.615631103515625
Proportional representation methods and their implementation,naive_rag,0.9928184747695923,0.013495276682078838,0.014285714365541935,1.2870216369628906,1.0893096923828125,2.9264180660247803,2.890371561050415
The impact of unconvent,naive_rag,0.9989959001541138,0.012820512987673283,0.016129031777381897,1.4320125579833984,1.5808185338974,2.9957327842712402,2.7725887298583984
Beige Book Regional Economic Condition Reports,naive_rag,0.9968472719192505,0.013495276682078838,0.01994301937520504,1.258048176765442,1.3760554790496826,2.9264180660247803,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,naive_rag,0.9981357455253601,0.013495276682078838,0.01609848439693451,1.4581749439239502,1.3345928192138672,2.9264180660247803,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,naive_rag,0.9980814456939697,0.013495276682078838,0.017241379246115685,1.3661589622497559,1.2654131650924683,2.9264180660247803,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,naive_rag,0.9982970356941223,0.013495276682078838,0.017241379246115685,1.2056281566619873,1.2654131650924683,2.9264180660247803,2.7080507278442383
Fiduciary duties and legal obligations of board members,naive_rag,0.996466875076294,0.013495276682078838,0.016129031777381897,1.2312356233596802,1.354710340499878,2.9264180660247803,2.7725887298583984
Committee formations and their specific functions,naive_rag,0.9947983622550964,0.015015015378594398,0.016129031777381897,1.3747763633728027,1.1803045272827148,2.787788152694702,2.7725887298583984
Quorum requirements and participation thresholds,naive_rag,0.9979599714279175,0.012820512987673283,0.016129031777381897,1.2487804889678955,1.354710340499878,2.9957327842712402,2.7725887298583984
Unconventional monetary policy tools during economic crises,naive_rag,0.9990200996398926,0.012820512987673283,0.016129031777381897,1.4184837341308594,1.40753173828125,2.9957327842712402,2.7725887298583984
Open market operations and asset purchase programs,naive_rag,0.9973303079605103,0.01422475092113018,0.01515151560306549,1.4320125579833984,1.2980356216430664,2.857103109359741,2.8332133293151855
board of governors structural organization,naive_rag,0.9990739226341248,0.012820512987673283,0.016129031777381897,1.426301121711731,1.482709527015686,2.9957327842712402,2.7725887298583984
The Taylor Rule and systematic policy frameworks,naive_rag,0.9985148906707764,0.013495276682078838,0.01515151560306549,1.2240684032440186,1.2181949615478516,2.9264180660247803,2.8332133293151855
Real Estate and Construction Market Conditions Across Regions,naive_rag,0.9961596131324768,0.013495276682078838,0.01609848439693451,1.544479489326477,1.3180238008499146,2.9264180660247803,2.75166654586792
