query,method,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping
Roles and responsibilities of individual board members,left_kan,0.9791676172053764,0.020832382794623662,1.0,0.9411764740943909,0.0,0.0,0.0,0.0,0.0,0.05882352963089943,0.0,0.0,0.0,0.0
Federal Reserve Annual Reports and Financial Disclosures,left_kan,0.9378454162474135,0.06215458375258652,0.7222222089767456,0.5,0.0,0.0,0.0,0.0,0.2777777910232544,0.3571428656578064,0.0,0.1428571492433548,0.0,0.0
Redundant payment gateway architecture and failover switching mechanisms,left_kan,0.7166011084355912,0.2833988915644088,0.1666666716337204,0.2222222238779068,0.1666666716337204,0.0555555559694767,0.1666666716337204,0.7222222089767456,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
federal reserve public communication channels,left_kan,0.6300570837450626,0.36994291625493736,1.0,0.2631579041481018,0.0,0.0,0.0,0.0,0.0,0.5789473652839661,0.0,0.15789473056793213,0.0,0.0
Indemnification and liability protection policies for board members,left_kan,0.8924797630483475,0.10752023695165251,0.7222222089767456,1.0,0.0,0.0,0.0,0.0,0.2222222238779068,0.0,0.0555555559694767,0.0,0.0,0.0
Monetary Policy Reports Submitted to Congress,left_kan,0.8282983904791879,0.1717016095208122,0.7142857313156128,0.5333333611488342,0.1428571492433548,0.0,0.0,0.0,0.1428571492433548,0.13333334028720856,0.0,0.20000000298023224,0.0,0.13333334028720856
Proportional representation methods and their implementation,left_kan,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
The impact of unconvent,left_kan,0.7396753159210999,0.2603246840789001,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,0.1666666716337204,0.125
Beige Book Regional Economic Condition Reports,left_kan,0.7434940112692878,0.2565059887307122,0.1666666716337204,0.4285714328289032,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0714285746216774,0.1666666716337204,0.5,0.1666666716337204,0.0
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,0.7091931934223722,0.2908068065776278,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.7647058963775635,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0
Cross-border financial contagion and central bank coordination frameworks,left_kan,0.7140956833971502,0.28590431660284976,0.9333333373069763,0.4000000059604645,0.0,0.2666666805744171,0.0,0.3333333432674408,0.0,0.0,0.0,0.0,0.06666667014360428,0.0
Recovery and resolution planning for financial market infrastructures,left_kan,0.6907663131438753,0.30923368685612473,0.6666666865348816,0.46666666865348816,0.13333334028720856,0.0,0.0,0.3333333432674408,0.20000000298023224,0.0,0.0,0.20000000298023224,0.0,0.0
Fiduciary duties and legal obligations of board members,left_kan,0.9477395169674206,0.052260483032579366,0.8571428656578064,1.0,0.0,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,0.0,0.0
Committee formations and their specific functions,left_kan,0.6082653803947862,0.3917346196052138,0.1666666716337204,0.9375,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0
Quorum requirements and participation thresholds,left_kan,0.6724388037582351,0.32756119624176494,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3125,0.1666666716337204,0.0
Unconventional monetary policy tools during economic crises,left_kan,0.6136743547618704,0.3863256452381296,0.625,0.125,0.25,0.0625,0.0,0.1875,0.0,0.125,0.0,0.4375,0.125,0.0625
Open market operations and asset purchase programs,left_kan,0.8001134692832814,0.19988653071671852,1.0,0.529411792755127,0.0,0.0,0.0,0.0,0.0,0.11764705926179886,0.0,0.3529411852359772,0.0,0.0
board of governors structural organization,left_kan,0.9043974110785729,0.09560258892142715,1.0,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0
The Taylor Rule and systematic policy frameworks,left_kan,0.8853255385806691,0.11467446141933092,1.0,0.7058823704719543,0.0,0.0,0.0,0.0,0.0,0.05882352963089943,0.0,0.1764705926179886,0.0,0.05882352963089943
Real Estate and Construction Market Conditions Across Regions,left_kan,0.7680428116048265,0.23195718839517354,0.1666666716337204,0.29411765933036804,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0
Roles and responsibilities of individual board members,right_kan,0.9791676172053764,0.020832382794623662,1.0,0.9411764740943909,0.0,0.0,0.0,0.0,0.0,0.05882352963089943,0.0,0.0,0.0,0.0
Federal Reserve Annual Reports and Financial Disclosures,right_kan,0.764931484374283,0.23506851562571698,0.1666666716337204,0.5,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3571428656578064,0.1666666716337204,0.1428571492433548,0.1666666716337204,0.0
Redundant payment gateway architecture and failover switching mechanisms,right_kan,0.7166011084355912,0.2833988915644088,0.1666666716337204,0.2222222238779068,0.1666666716337204,0.0555555559694767,0.1666666716337204,0.7222222089767456,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
federal reserve public communication channels,right_kan,0.7608688993888029,0.23913110061119708,0.1666666716337204,0.2631579041481018,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.5789473652839661,0.1666666716337204,0.15789473056793213,0.1666666716337204,0.0
Indemnification and liability protection policies for board members,right_kan,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
Monetary Policy Reports Submitted to Congress,right_kan,0.8313656869424738,0.1686343130575262,0.1666666716337204,0.5333333611488342,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.13333334028720856,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.13333334028720856
Proportional representation methods and their implementation,right_kan,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
The impact of unconvent,right_kan,0.7396753159210999,0.2603246840789001,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1875,0.1666666716337204,0.0,0.1666666716337204,0.125
Beige Book Regional Economic Condition Reports,right_kan,0.7434940112692878,0.2565059887307122,0.1666666716337204,0.4285714328289032,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0714285746216774,0.1666666716337204,0.5,0.1666666716337204,0.0
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,0.7091931934223722,0.2908068065776278,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.7647058963775635,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.0
Cross-border financial contagion and central bank coordination frameworks,right_kan,0.7819843159743151,0.21801568402568497,0.1666666716337204,0.4000000059604645,0.1666666716337204,0.2666666805744171,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
Recovery and resolution planning for financial market infrastructures,right_kan,0.7748055293123968,0.2251944706876033,0.1666666716337204,0.46666666865348816,0.1666666716337204,0.0,0.1666666716337204,0.3333333432674408,0.1666666716337204,0.0,0.1666666716337204,0.20000000298023224,0.1666666716337204,0.0
Fiduciary duties and legal obligations of board members,right_kan,0.5460873385083396,0.4539126614916605,0.1666666716337204,1.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0
Committee formations and their specific functions,right_kan,0.6082653803947862,0.3917346196052138,0.1666666716337204,0.9375,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0625,0.1666666716337204,0.0,0.1666666716337204,0.0
Quorum requirements and participation thresholds,right_kan,0.6724388037582351,0.32756119624176494,0.1666666716337204,0.6875,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.3125,0.1666666716337204,0.0
Unconventional monetary policy tools during economic crises,right_kan,0.9406812923341048,0.05931870766589521,0.1666666716337204,0.125,0.1666666716337204,0.0625,0.1666666716337204,0.1875,0.1666666716337204,0.125,0.1666666716337204,0.4375,0.1666666716337204,0.0625
Open market operations and asset purchase programs,right_kan,0.7578466470247527,0.24215335297524732,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.11764705926179886,0.1666666716337204,0.3529411852359772,0.1666666716337204,0.0
board of governors structural organization,right_kan,0.9043974110785729,0.09560258892142715,1.0,0.75,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0
The Taylor Rule and systematic policy frameworks,right_kan,0.7678934053520401,0.2321065946479599,0.1666666716337204,0.7058823704719543,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.05882352963089943,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.05882352963089943
Real Estate and Construction Market Conditions Across Regions,right_kan,0.7680428116048265,0.23195718839517354,0.1666666716337204,0.29411765933036804,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.1764705926179886,0.1666666716337204,0.529411792755127,0.1666666716337204,0.0
Roles and responsibilities of individual board members,naive_rag,0.9201013286223034,0.07989867137769663,0.6499999761581421,0.9411764740943909,0.05000000074505806,0.0,0.0,0.0,0.25,0.05882352963089943,0.05000000074505806,0.0,0.0,0.0
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,0.9600516318392143,0.03994836816078578,0.4000000059604645,0.5,0.05000000074505806,0.0,0.05000000074505806,0.0,0.4000000059604645,0.3571428656578064,0.10000000149011612,0.1428571492433548,0.0,0.0
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.7507183668187744,0.24928163318122565,0.550000011920929,0.2222222238779068,0.15000000596046448,0.0555555559694767,0.10000000149011612,0.7222222089767456,0.05000000074505806,0.0,0.10000000149011612,0.0,0.05000000074505806,0.0
