query,method,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy
Roles and responsibilities of individual board members,left_kan,0.9459840655326843,0.0714285746216774,0.01515151560306549,1.0397207736968994,1.283172607421875,1.3862943649291992,2.8332133293151855
Federal Reserve Annual Reports and Financial Disclosures,left_kan,0.9983160495758057,0.014285714365541935,0.018518518656492233,1.3878000974655151,1.4377014636993408,2.890371561050415,2.6390578746795654
Redundant payment gateway architecture and failover switching mechanisms,left_kan,0.0,0.0,0.01512605044990778,0.0,1.0720434188842773,0.0,2.8133552074432373
federal reserve public communication channels,left_kan,0.9909660220146179,0.03846153989434242,0.013513513840734959,1.2770342826843262,1.4152779579162598,1.9459104537963867,2.9444386959075928
Indemnification and liability protection policies for board members,left_kan,0.9964783191680908,0.014285714365541935,0.01609848439693451,1.5379871129989624,1.339717984199524,2.890371561050415,2.75166654586792
Monetary Policy Reports Submitted to Congress,left_kan,0.9947279095649719,0.018518518656492233,0.018472906202077866,1.2540419101715088,1.1124565601348877,2.6390578746795654,2.615631103515625
Proportional representation methods and their implementation,left_kan,0.0,0.0,0.014285714365541935,0.0,1.0893096923828125,0.0,2.890371561050415
The impact of unconvent,left_kan,0.0,0.0,0.016129031777381897,0.0,1.5808185338974,0.0,2.7725887298583984
Beige Book Regional Economic Condition Reports,left_kan,0.0,0.0,0.01994301937520504,0.0,1.3760554790496826,0.0,2.540036916732788
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,0.0,0.0,0.01609848439693451,0.0,1.3345928192138672,0.0,2.75166654586792
Cross-border financial contagion and central bank coordination frameworks,left_kan,0.9997100234031677,0.017241379246115685,0.017241379246115685,1.4322139024734497,1.2654131650924683,2.7080507278442383,2.7080507278442383
Recovery and resolution planning for financial market infrastructures,left_kan,0.9991293549537659,0.017241379246115685,0.017241379246115685,1.2351446151733398,1.2654131650924683,2.7080507278442383,2.7080507278442383
Fiduciary duties and legal obligations of board members,left_kan,0.9972043633460999,0.018518518656492233,0.016129031777381897,1.4508050680160522,1.354710340499878,2.6390578746795654,2.7725887298583984
Committee formations and their specific functions,left_kan,0.0,0.0,0.016129031777381897,0.0,1.1803045272827148,0.0,2.7725887298583984
Quorum requirements and participation thresholds,left_kan,0.0,0.0,0.016129031777381897,0.0,1.354710340499878,0.0,2.7725887298583984
