query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size,eval_type,motif_similarity,n_pos_feedback_pred,n_neg_feedback_pred,cascade_depth_pred,n_fanout_pred,n_fanin_pred,n_bottleneck_pred,n_pos_feedback_gt,n_neg_feedback_gt,cascade_depth_gt,n_fanout_gt,n_fanin_gt,n_bottleneck_gt,homology_score,pred_density,gt_density,pred_rel_entropy,gt_rel_entropy,pred_out_entropy,gt_out_entropy,universality_score,jsd,pred_regulatory_enforcement,gt_regulatory_enforcement,pred_amplification_cascade,gt_amplification_cascade,pred_contagion_spread,gt_contagion_spread,pred_information_signaling,gt_information_signaling,pred_resource_constraint,gt_resource_constraint,pred_threshold_tipping,gt_threshold_tipping,fidelity,fidelity_max,fidelity_min,n_back_translated,n_predicted,coherence_score,mean_raw_score,n_judged
Roles and responsibilities of individual board members,left_kan,0.0835452675819397,0.02482076920568943,0.038271360037698036,0.4555342197418213,0.08038839347222272,0.13666026845574378,4.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Annual Reports and Financial Disclosures,left_kan,0.03993199020624161,0.048299048095941544,0.04371878995535311,0.12427505519655016,0.4473901689052582,0.19451747488209326,18.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redundant payment gateway architecture and failover switching mechanisms,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal reserve public communication channels,left_kan,0.09117992967367172,0.024756504222750664,0.03894024058067943,0.46250322461128235,0.09736910148670799,0.16087068896212514,7.0,19.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indemnification and liability protection policies for board members,left_kan,0.026364615187048912,0.0332440510392189,0.029407355285577128,0.0496260275443395,0.4466342329978943,0.08932684928178787,18.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Policy Reports Submitted to Congress,left_kan,0.12153729051351547,0.08519565314054489,0.10017221893340687,0.47792956233024597,0.22303379972775778,0.30413699790465926,14.0,15.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportional representation methods and their implementation,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The impact of unconvent,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige Book Regional Economic Condition Reports,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,semantic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
