query,method,soft_precision,soft_recall,soft_f1,hungarian_precision,hungarian_recall,hungarian_f1,pred_size,true_size
Roles and responsibilities of individual board members,left_kan,0.0835452675819397,0.02482076920568943,0.038271360037698036,0.4555342197418213,0.08038839347222272,0.13666026845574378,4,17
Federal Reserve Annual Reports and Financial Disclosures,left_kan,0.03993199020624161,0.048299048095941544,0.04371878995535311,0.12427505519655016,0.4473901689052582,0.19451747488209326,18,14
Redundant payment gateway architecture and failover switching mechanisms,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,18
federal reserve public communication channels,left_kan,0.09117992967367172,0.024756504222750664,0.03894024058067943,0.46250322461128235,0.09736910148670799,0.16087068896212514,7,19
Indemnification and liability protection policies for board members,left_kan,0.026364615187048912,0.0332440510392189,0.029407355285577128,0.0496260275443395,0.4466342329978943,0.08932684928178787,18,17
Monetary Policy Reports Submitted to Congress,left_kan,0.12153729051351547,0.08519565314054489,0.10017221893340687,0.47792956233024597,0.22303379972775778,0.30413699790465926,14,15
Proportional representation methods and their implementation,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,18
The impact of unconvent,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Beige Book Regional Economic Condition Reports,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,14
Federal Reserve Bank Presidents' Speeches and Public Addresses,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Cross-border financial contagion and central bank coordination frameworks,left_kan,0.06868342310190201,0.07570371776819229,0.07202290240704774,0.48791101574897766,0.19516441226005554,0.2788063007958081,15,15
Recovery and resolution planning for financial market infrastructures,left_kan,0.08235582709312439,0.07388310134410858,0.07788972927888002,0.4682624936103821,0.24974001248677571,0.325747835162907,15,15
Fiduciary duties and legal obligations of board members,left_kan,0.03389735147356987,0.03532181307673454,0.034594925273207205,0.42481207847595215,0.10620302148163319,0.16992483377456663,14,16
Committee formations and their specific functions,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Quorum requirements and participation thresholds,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Unconventional monetary policy tools during economic crises,left_kan,0.024100912734866142,0.01456648763269186,0.018158223410517038,0.43856146931648254,0.08223027549684048,0.13849309557362607,8,16
Open market operations and asset purchase programs,left_kan,0.11030730605125427,0.0684657096862793,0.08449002173201163,0.4874124228954315,0.17202791221001568,0.25430213176911176,9,17
board of governors structural organization,left_kan,0.0648399144411087,0.01496313139796257,0.024315065907921776,0.4229155480861664,0.0792966578155756,0.13355226777597132,4,16
The Taylor Rule and systematic policy frameworks,left_kan,0.014171666465699673,0.0073083266615867615,0.009643501025037068,0.4348219633102417,0.051155525095322556,0.09154146596005089,9,17
Real Estate and Construction Market Conditions Across Regions,left_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Roles and responsibilities of individual board members,right_kan,0.0835452675819397,0.02482076920568943,0.038271360037698036,0.4555342197418213,0.08038839347222272,0.13666026845574378,4,17
Federal Reserve Annual Reports and Financial Disclosures,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,14
Redundant payment gateway architecture and failover switching mechanisms,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,18
federal reserve public communication channels,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,19
Indemnification and liability protection policies for board members,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Monetary Policy Reports Submitted to Congress,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,15
Proportional representation methods and their implementation,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,18
The impact of unconvent,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Beige Book Regional Economic Condition Reports,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,14
Federal Reserve Bank Presidents' Speeches and Public Addresses,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Cross-border financial contagion and central bank coordination frameworks,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,15
Recovery and resolution planning for financial market infrastructures,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,15
Fiduciary duties and legal obligations of board members,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Committee formations and their specific functions,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Quorum requirements and participation thresholds,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Unconventional monetary policy tools during economic crises,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,16
Open market operations and asset purchase programs,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
board of governors structural organization,right_kan,0.0648399144411087,0.01496313139796257,0.024315065907921776,0.4229155480861664,0.0792966578155756,0.13355226777597132,4,16
The Taylor Rule and systematic policy frameworks,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Real Estate and Construction Market Conditions Across Regions,right_kan,0.0,0.0,0.0,0.0,0.0,0.0,0,17
Roles and responsibilities of individual board members,naive_rag,0.018456343561410904,0.02482076920568943,0.021170573295127237,0.08322580307722091,0.4161289930343628,0.13870967055360467,20,17
Federal Reserve Annual Reports and Financial Disclosures,naive_rag,0.02915019728243351,0.04216020926833153,0.03446841708203278,0.11127127110958099,0.4450851082801819,0.17803403568267812,20,14
Redundant payment gateway architecture and failover switching mechanisms,naive_rag,0.06553934514522552,0.040960609912872314,0.050413759310493966,0.09003491550683976,0.45017457008361816,0.15005819209747848,20,18
